"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
Egypt,576,,36.0,,121.0,419,,6.0,0.4,Feb 13
Hong Kong,560,,4.0,,112.0,444,5.0,75.0,0.5,Jan 22
New Zealand,514,,1.0,,56.0,457,1.0,107.0,0.2,Feb 27
Iraq,506,,42.0,,131.0,333,,13.0,1.0,Feb 21
Bahrain,476,,4.0,,265.0,207,1.0,280.0,2.0,Feb 23
UAE,468,,2.0,,52.0,414,2.0,47.0,0.2,Jan 28
Algeria,454,,29.0,,31.0,394,,10.0,0.7,Feb 24
Lebanon,412,,8.0,,30.0,374,4.0,60.0,1.0,Feb 20
Armenia,407,,1.0,,30.0,376,6.0,137.0,0.3,Feb 29
Morocco,402,,25.0,,12.0,365,1.0,11.0,0.7,Mar 01
Lithuania,394,,7.0,,1.0,386,2.0,145.0,3.0,Feb 27
Ukraine,356,,9.0,,5.0,342,,8.0,0.2,Mar 02
Hungary,343,,11.0,,34.0,298,6.0,36.0,1.0,Mar 03
Bulgaria,331,,7.0,,11.0,313,8.0,48.0,1.0,Mar 06
Andorra,308,,3.0,,1.0,304,10.0,3986.0,39.0,Mar 01
Latvia,305,,,,1.0,304,3.0,162.0,,Mar 01
Uruguay,304,,1.0,,,303,9.0,88.0,0.3,Mar 12
Costa Rica,295,,2.0,,3.0,290,6.0,58.0,0.4,Mar 04
Slovakia,292,,,,2.0,290,1.0,53.0,,Mar 05
Taiwan,283,,2.0,,30.0,251,,12.0,0.08,Jan 20
Tunisia,278,,8.0,,2.0,268,10.0,24.0,0.7,Mar 01
Bosnia and Herzegovina,278,,6.0,,8.0,264,1.0,85.0,2.0,Mar 04
Jordan,246,,1.0,,18.0,227,3.0,24.0,0.1,Mar 01
North Macedonia,241,,4.0,,3.0,234,1.0,116.0,2.0,Feb 25
Kuwait,235,,,,64.0,171,11.0,55.0,,Feb 23
Moldova,231,,2.0,,2.0,227,33.0,57.0,0.5,Mar 06
Kazakhstan,228,,1.0,,16.0,211,,12.0,0.05,Mar 12
San Marino,224,,22.0,,6.0,196,16.0,6602.0,648.0,Feb 26
Burkina Faso,207,,11.0,,21.0,175,,10.0,0.5,Mar 08
Albania,197,,10.0,,31.0,156,3.0,68.0,3.0,Mar 07
Réunion,183,,,,1.0,182,,204.0,,Mar 10
Azerbaijan,182,,4.0,,15.0,163,23.0,18.0,0.4,Feb 27
Cyprus,179,,5.0,,15.0,159,3.0,148.0,4.0,Mar 08
Vietnam,179,5.0,,,21.0,158,3.0,2.0,,Jan 22
Faeroe Islands,155,,,,54.0,101,2.0,3172.0,,Mar 03
Oman,152,,,,23.0,129,,30.0,,Feb 23
Malta,149,,,,2.0,147,1.0,337.0,,Mar 06
Ghana,141,,5.0,,2.0,134,1.0,5.0,0.2,Mar 11
Senegal,130,,,,18.0,112,,8.0,,Mar 01
Brunei,120,,1.0,,25.0,94,1.0,274.0,2.0,Mar 08
Cuba,119,,3.0,,4.0,112,2.0,11.0,0.3,Mar 10
Venezuela,119,,2.0,,39.0,78,2.0,4.0,0.07,Mar 12
Sri Lanka,115,2.0,1.0,,9.0,105,5.0,5.0,0.05,Jan 26
Afghanistan,110,,4.0,,2.0,104,,3.0,0.1,Feb 23
Honduras,110,15.0,1.0,,3.0,106,4.0,11.0,0.1,Mar 10
Uzbekistan,104,,2.0,,5.0,97,8.0,3.0,0.06,Mar 14
Palestine,104,,1.0,,18.0,85,,20.0,0.2,Mar 04
Cambodia,103,4.0,,,21.0,82,1.0,6.0,,Jan 26
Guadeloupe,102,,2.0,,17.0,83,4.0,255.0,5.0,Mar 12
Mauritius,102,,2.0,,,100,1.0,80.0,2.0,Mar 17
Ivory Coast,101,,,,3.0,98,,4.0,,Mar 10
Channel Islands,97,,1.0,,,96,,558.0,6.0,Mar 08
Nigeria,97,,1.0,,3.0,93,,0.5,0.0,Feb 27
Belarus,94,,,,32.0,62,2.0,10.0,,Feb 27
Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
Cameroon,91,,2.0,,2.0,87,,3.0,0.08,Mar 05
Georgia,90,,,,14.0,76,1.0,23.0,,Feb 25
Montenegro,84,,1.0,,,83,1.0,134.0,2.0,Mar 16
Bolivia,81,7.0,,,,81,,7.0,,Mar 09
Trinidad and Tobago,76,,3.0,,1.0,72,,54.0,2.0,Mar 11
DRC,65,,6.0,,2.0,57,,0.7,0.07,Mar 09
Mayotte,63,,,,,63,,231.0,,Mar 13
Rwanda,60,,,,,60,,5.0,,Mar 13
Kyrgyzstan,58,,,,,58,,9.0,,Mar 17
Paraguay,56,,3.0,,1.0,52,1.0,8.0,0.4,Mar 06
Gibraltar,56,,,,14.0,42,,1662.0,,Mar 02
Liechtenstein,56,,,,,56,,1469.0,,Mar 02
Bangladesh,48,,5.0,,15.0,28,1.0,0.3,0.03,Mar 07
Aruba,46,,,,1.0,45,,431.0,,Mar 12
Monaco,43,,1.0,,1.0,41,,1096.0,25.0,Feb 27
Kenya,38,,1.0,,1.0,36,2.0,0.7,0.02,Mar 12
Guatemala,34,,1.0,,10.0,23,1.0,2.0,0.06,Mar 12
Macao,34,,,,10.0,24,,52.0,,Jan 21
Jamaica,32,2.0,1.0,,2.0,29,,11.0,0.3,Mar 09
Isle of Man,32,,,,,32,,376.0,,Mar 18
French Polynesia,30,,,,,30,,107.0,,Mar 10
Uganda,30,,,,,30,,0.7,,Mar 20
French Guiana,28,,,,6.0,22,,94.0,,Mar 06
Zambia,28,,,,,28,,2.0,,Mar 17
Barbados,26,,,,,26,,90.0,,Mar 16
Madagascar,26,,,,,26,,0.9,,Mar 19
Togo,25,,1.0,,1.0,23,,3.0,0.1,Mar 05
El Salvador,19,,,,,19,,3.0,,Mar 18
Mali,18,,1.0,,,17,,0.9,0.05,Mar 24
Bermuda,17,,,,2.0,15,,273.0,,Mar 17
Ethiopia,16,,,,1.0,15,,0.1,,Mar 12
Maldives,16,,,,9.0,7,,30.0,,Mar 06
Haiti,15,7.0,,,1.0,14,,1.0,,Mar 19
New Caledonia,15,,,,,15,,53.0,,Mar 17
Djibouti,14,,,,,14,,14.0,,Mar 17
Tanzania,14,,,,1.0,13,,0.2,,Mar 15
Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
Mongolia,12,,,,,12,,4.0,,Mar 09
Dominica,11,,,,,11,,153.0,,Mar 21
Saint Martin,11,,,,,11,,284.0,,Feb 29
Niger,10,,1.0,,,9,,0.4,0.04,Mar 18
Bahamas,10,,,,1.0,9,,25.0,,Mar 14
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Grenada,9,2.0,,,,9,,80.0,,Mar 21
Eswatini,9,,,,,9,,8.0,,Mar 13
Cayman Islands,8,,1.0,,,7,,122.0,15.0,Mar 12
Curaçao,8,,1.0,,2.0,5,,49.0,6.0,Mar 12
Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
Guinea,8,,,,,8,,0.6,,Mar 12
Laos,8,,,,,8,,1.0,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Myanmar,8,,,,,8,,0.1,,Mar 22
Namibia,8,,,,2.0,6,,3.0,,Mar 13
Seychelles,8,,,,,8,,81.0,,Mar 13
Suriname,8,,,,,8,,14.0,,Mar 12
Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
Zimbabwe,7,,1.0,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
Benin,6,,,,,6,,0.5,,Mar 15
Eritrea,6,,,,,6,,2.0,,Mar 20
Vatican City,6,,,,,6,,7491.0,,Mar 05
Sudan,5,,1.0,,,4,,0.1,0.02,Mar 12
Nepal,5,,,,1.0,4,,0.2,,Jan 23
Angola,5,,,,,5,,0.2,,Mar 19
Fiji,5,,,,,5,,6.0,,Mar 18
Mauritania,5,,,,,5,,1.0,,Mar 12
Montserrat,5,,,,,5,,1002.0,,Mar 17
St. Barth,5,,,,,5,,506.0,,Feb 29
Syria,5,,,,,5,,0.3,,Mar 21
Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
Bhutan,4,1.0,,,,4,,5.0,,Mar 05
Congo,4,,,,,4,,0.7,,Mar 14
Turks and Caicos,4,,,,,4,,103.0,,Mar 22
Gambia,3,,1.0,,,2,,1.0,0.4,Mar 16
CAR,3,,,,,3,,0.6,,Mar 14
Chad,3,,,,,3,,0.2,,Mar 18
Liberia,3,,,,,3,,0.6,,Mar 15
Libya,3,,,,,3,,0.4,,Mar 23
Saint Lucia,3,,,,1.0,2,,16.0,,Mar 12
Sint Maarten,3,,,,,3,,70.0,,Mar 17
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133.0,,Mar 25
Belize,2,,,,,2,,5.0,,Mar 22
British Virgin Islands,2,,,,,2,,66.0,,Mar 24
Guinea-Bissau,2,,,,,2,,1.0,,Mar 24
Saint Kitts and Nevis,2,,,,,2,,38.0,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81439,45.0,3300.0,5.0,75448.0,2691,742.0,57.0,2.0,Jan 10
